name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand,car_age,km_per_year
Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,Petrol,Individual,Manual,1,Hyundai,1,7500
Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,1,Maruti,14,5333
Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Dealer,Manual,1,Maruti,3,4625
Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Dealer,Manual,1,Maruti,2,3400
Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Dealer,Manual,1,Hyundai,2,9666
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,Dealer,Manual,1,Maruti,2,9333
Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,1,Maruti,4,9200
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,Manual,1,Hyundai,6,10000
Maruti Alto LXi,2012,160000,60000,Petrol,Individual,Manual,2,Maruti,8,6666
Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,2,Mahindra,24,1400
Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,1,Honda,6,12857
Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,1,Maruti,7,10000
Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,1,Tata,15,5000
Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,2,Hyundai,6,10471
Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,1,Toyota,6,13142
Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,2,Maruti,11,5563
Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,1,Maruti,11,8333
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Individual,Manual,2,Chevrolet,10,31818
Toyota Corolla Altis Diesel D4DG,2011,350000,230000,Diesel,Individual,Manual,1,Toyota,9,23000
Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Individual,Manual,1,Mahindra,3,15000
Hyundai EON Magna Plus,2018,300000,31000,Petrol,Individual,Manual,1,Hyundai,2,10333
Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,1,Tata,13,2785
Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Individual,Manual,3,Toyota,11,10000
Tata Indica Vista Quadrajet LS,2014,125000,166000,Diesel,Individual,Manual,4,Tata,6,23714
Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,3,Maruti,14,7333
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,1,Ford,3,8750
Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Individual,Manual,1,Maruti,2,20000
Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,2,Honda,13,3857
Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Individual,Manual,2,Hyundai,10,5727
Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,2,Skoda,6,17142
Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,3,Hyundai,15,7500
Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,2,Nissan,6,10857
Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Individual,Manual,1,Hyundai,5,13333
Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,1,Hyundai,1,12500
Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,1,Honda,4,2391
Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,1,Honda,5,3333
Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,1,Hyundai,3,2250
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Dealer,Automatic,1,Mercedes-Benz,3,1625
Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,1,Mahindra,5,11666
Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,1,Renault,7,15000
Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,2,Hyundai,13,4142
Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,1,Mahindra,7,7775
Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,2,Audi,6,4857
Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,2,Fiat,5,8833
Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,1,Audi,7,6125
Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,2,Datsun,3,3750
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,1,Volkswagen,7,6250
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,1,Audi,7,6625
Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,1,Honda,11,5291
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,Petrol,Dealer,Automatic,1,Mercedes-Benz,2,3266
BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,1,BMW,3,3250
Volvo V40 D3 R Design,2018,1975000,21000,Diesel,Dealer,Automatic,1,Other,2,7000
Maruti SX4 Zxi BSIII,2008,175000,29173,Petrol,Dealer,Manual,1,Maruti,12,2244
BMW 7 Series 730Ld,2012,2500000,48000,Diesel,Dealer,Automatic,1,BMW,8,5333
Mahindra Bolero Power Plus SLX,2017,628000,120000,Diesel,Individual,Manual,1,Mahindra,3,30000
Hyundai Sonata CRDi M/T,2010,600000,100000,Diesel,Individual,Manual,1,Hyundai,10,9090
Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Individual,Manual,1,Nissan,3,7500
Mahindra Xylo D4,2018,750000,87000,Diesel,Individual,Manual,1,Mahindra,2,29000
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,Petrol,Individual,Manual,1,Hyundai,1,7500
Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,1,Renault,3,4000
Mahindra Xylo E4 BS III,2012,600000,60000,Diesel,Individual,Manual,1,Mahindra,8,6666
Maruti Wagon R LXI Minor,2010,100000,60000,Petrol,Individual,Manual,4,Maruti,10,5454
Maruti SX4 ZXI MT BSIV,2011,250000,110000,Petrol,Individual,Manual,3,Maruti,9,11000
Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,1,Renault,3,6250
Hyundai Creta 1.4 CRDi S,2016,780000,60000,Diesel,Individual,Manual,1,Hyundai,4,12000
Maruti Swift Dzire VDI,2014,434000,79350,Diesel,Individual,Manual,2,Maruti,6,11335
Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,Petrol,Individual,Automatic,1,Hyundai,4,16000
Mahindra Scorpio LX BSIV,2014,555000,90000,Diesel,Individual,Manual,2,Mahindra,6,12857
Maruti SX4 Vxi BSIII,2007,120000,90000,Petrol,Individual,Manual,2,Maruti,13,6428
Maruti Ertiga VDI,2014,500000,120000,Diesel,Individual,Manual,2,Maruti,6,17142
Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,2,Chevrolet,7,7500
Maruti Zen LX,2004,95000,50000,Petrol,Individual,Manual,1,Maruti,16,2941
Maruti Baleno Delta 1.2,2018,550000,20000,Petrol,Individual,Manual,1,Maruti,2,6666
Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Individual,Manual,4,Maruti,13,7857
Tata Nano Lx BSIV,2012,100000,50000,Petrol,Individual,Manual,2,Tata,8,5555
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,Diesel,Individual,Manual,1,Toyota,8,11111
Maruti Ertiga SHVS VDI,2016,800000,70000,Diesel,Individual,Manual,2,Maruti,4,14000
Hyundai Creta 1.6 CRDi SX,2016,840000,70000,Diesel,Individual,Manual,2,Hyundai,4,14000
Honda Amaze S i-Vtech,2016,490000,50000,Petrol,Individual,Manual,1,Honda,4,10000
Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,Diesel,Individual,Manual,2,Tata,10,7363
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,120000,Diesel,Individual,Manual,3,Chevrolet,8,13333
Chevrolet Cruze LTZ,2015,1000000,3600,Diesel,Dealer,Manual,1,Chevrolet,5,600
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,Petrol,Dealer,Manual,1,Ford,5,2378
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,Diesel,Dealer,Manual,1,Ford,3,12303
Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Individual,Manual,1,Hyundai,5,6666
Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,4,Maruti,22,1739
Chevrolet Spark 1.0 LS,2012,130000,80000,Petrol,Individual,Manual,1,Chevrolet,8,8888
Hyundai EON Era Plus,2015,200000,70000,Petrol,Individual,Manual,1,Hyundai,5,11666
Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,Diesel,Individual,Manual,1,Tata,9,7000
Hyundai Santro LP zipPlus,2003,75000,57000,Petrol,Individual,Manual,1,Hyundai,17,3166
Tata Bolt Quadrajet XE,2016,250000,120000,Diesel,Individual,Manual,1,Tata,4,24000
Maruti 800 AC BSIII,2005,100000,30000,Petrol,Individual,Manual,1,Maruti,15,1875
Hyundai EON Era Plus,2013,280000,3240,Petrol,Individual,Manual,2,Hyundai,7,405
Hyundai i20 Magna 1.2,2015,540000,5000,Petrol,Individual,Manual,1,Hyundai,5,833
Hyundai i20 1.2 Asta,2018,700000,10000,Petrol,Individual,Manual,1,Hyundai,2,3333
Maruti Ciaz VDi Plus,2015,525000,100000,Diesel,Individual,Manual,1,Maruti,5,16666
Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,Diesel,Individual,Manual,1,Hyundai,4,16000
Hyundai Santro LE,2002,65000,70000,Petrol,Individual,Manual,1,Hyundai,18,3684
Maruti Vitara Brezza VDi,2018,800000,35000,Diesel,Individual,Manual,1,Maruti,2,11666
Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,Petrol,Individual,Manual,2,Hyundai,13,8142
Hyundai Getz 1.3 GLS,2008,210000,53772,Petrol,Individual,Manual,1,Hyundai,12,4136
Mahindra Quanto C8,2012,195000,140000,Diesel,Individual,Manual,2,Mahindra,8,15555
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000,Diesel,Individual,Manual,1,Chevrolet,5,20000
Hyundai EON Magna Plus,2012,170000,60000,Petrol,Individual,Manual,1,Hyundai,8,6666
Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,1,Renault,4,5000
Maruti Wagon R DUO LPG,2014,210000,90000,Other,Individual,Manual,1,Maruti,6,12857
Maruti Wagon R LXI,2020,240000,120000,Petrol,Individual,Manual,1,Maruti,0,120000
Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,175000,Diesel,Individual,Manual,1,Chevrolet,5,29166
Chevrolet Spark 1.0 LS,2011,99000,100000,Petrol,Individual,Manual,3,Chevrolet,9,10000
Honda City i VTEC SV,2014,620000,36000,Petrol,Individual,Manual,1,Honda,6,5142
Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Individual,Manual,1,Honda,7,3750
Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000,Petrol,Individual,Automatic,2,Other,10,3636
Honda Brio E MT,2013,260000,70000,Petrol,Individual,Manual,2,Honda,7,8750
Maruti Swift VVT ZXI,2017,550000,60000,Petrol,Individual,Manual,1,Maruti,3,15000
Tata Indigo CR4,2011,150000,155500,Diesel,Individual,Manual,1,Tata,9,15550
Hyundai i10 Asta AT,2011,350000,50000,Petrol,Individual,Automatic,2,Hyundai,9,5000
Chevrolet Beat LT,2016,320000,40000,Petrol,Individual,Manual,1,Chevrolet,4,8000
Maruti Swift VDI BSIV,2015,400000,100000,Diesel,Individual,Manual,3,Maruti,5,16666
Maruti Alto LXi,2012,175000,80000,Petrol,Individual,Manual,3,Maruti,8,8888
Chevrolet Beat LT,2011,120000,90000,Petrol,Individual,Manual,2,Chevrolet,9,9000
Renault Duster 110PS Diesel RxZ,2013,320000,90000,Diesel,Individual,Manual,2,Renault,7,11250
Hyundai Santro Xing XG,2006,70000,110000,Petrol,Individual,Manual,3,Hyundai,14,7333
Maruti Swift Dzire ZXI Plus,2019,810000,15000,Petrol,Individual,Manual,1,Maruti,1,7500
Maruti 800 AC,2007,95000,100000,Petrol,Individual,Manual,2,Maruti,13,7142
Maruti Alto K10 LXI CNG,2020,282000,40000,Other,Individual,Manual,1,Maruti,0,40000
Maruti 800 Std BSII,2004,80000,60000,Petrol,Individual,Manual,2,Maruti,16,3529
Tata Nano LX SE,2013,72000,25000,Petrol,Individual,Manual,1,Tata,7,3125
Hyundai i20 Magna 1.2,2016,600000,25000,Petrol,Individual,Manual,1,Hyundai,4,5000
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,Petrol,Individual,Manual,1,Skoda,5,3833
Maruti Alto K10 VXI,2018,380000,22155,Petrol,Individual,Manual,1,Maruti,2,7385
Maruti Ciaz 1.4 Delta,2018,650000,70000,Petrol,Individual,Manual,1,Maruti,2,23333
Maruti Alto LX,2009,150000,60000,Petrol,Individual,Manual,2,Maruti,11,5000
Hyundai i20 Asta,2009,280000,110000,Petrol,Individual,Manual,2,Hyundai,11,9166
Tata Nexon 1.2 Revotron XM,2018,430000,30000,Petrol,Individual,Manual,1,Tata,2,10000
Mahindra Bolero Power Plus SLX,2019,800000,15000,Diesel,Individual,Manual,1,Mahindra,1,7500
Maruti Zen D,2003,75000,100000,Diesel,Individual,Manual,2,Maruti,17,5555
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000,70000,Diesel,Individual,Automatic,1,Volkswagen,4,14000
Maruti Eeco 7 Seater Standard BSIV,2017,390000,24000,Petrol,Individual,Manual,1,Maruti,3,6000
Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,2,Honda,15,7500
Mercedes-Benz New C-Class 220 CDI AT,2013,1500000,35000,Diesel,Individual,Automatic,1,Mercedes-Benz,7,4375
Maruti SX4 Zxi with Leather BSIII,2007,175000,78380,Petrol,Individual,Manual,1,Maruti,13,5598
Renault Duster 110PS Diesel RxZ,2012,434999,110000,Diesel,Individual,Manual,2,Renault,8,12222
Ford Figo Diesel Titanium,2010,170000,90000,Diesel,Individual,Manual,3,Ford,10,8181
Ford Figo Diesel Titanium,2011,190000,90000,Diesel,Individual,Manual,3,Ford,9,9000
Maruti Swift Dzire VDi,2009,250000,150000,Diesel,Individual,Manual,3,Maruti,11,12500
Mahindra Xylo E4,2009,229999,230000,Diesel,Individual,Manual,3,Mahindra,11,19166
Maruti Esteem Vxi - BSIII,2006,140000,70000,Petrol,Individual,Manual,3,Maruti,14,4666
Maruti Swift VDI BSIV,2017,600000,80362,Diesel,Individual,Manual,1,Maruti,3,20090
Hyundai i20 1.2 Sportz,2012,280000,110000,Petrol,Individual,Manual,3,Hyundai,8,12222
Chevrolet Beat Diesel LT,2012,150000,60000,Diesel,Individual,Manual,1,Chevrolet,8,6666
Chevrolet Cruze LTZ AT,2015,650000,50000,Diesel,Individual,Automatic,1,Chevrolet,5,8333
Nissan Micra XL,2014,210000,40000,Petrol,Individual,Manual,2,Nissan,6,5714
BMW 5 Series 520d Luxury Line,2017,2900000,40000,Diesel,Individual,Automatic,1,BMW,3,10000
Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000,20000,Diesel,Dealer,Manual,1,Chevrolet,7,2500
Hyundai EON Era Plus Option,2014,265000,55000,Petrol,Dealer,Manual,1,Hyundai,6,7857
Fiat Linea T Jet Emotion,2018,890000,1136,Petrol,Dealer,Manual,1,Fiat,2,378
Renault Scala RxL,2013,365000,55000,Petrol,Dealer,Manual,1,Renault,7,6875
Ford Figo Petrol Titanium,2014,350000,43000,Petrol,Dealer,Manual,1,Ford,6,6142
Maruti Ciaz ZDi SHVS,2016,685000,60000,Diesel,Individual,Manual,1,Maruti,4,12000
Skoda Rapid 1.5 TDI Ambition BSIV,2018,940000,2650,Diesel,Dealer,Manual,1,Skoda,2,883
Mahindra XUV500 W6 2WD,2017,1000000,40000,Diesel,Individual,Manual,1,Mahindra,3,10000
Mahindra XUV300 W8 Option,2019,1150000,15000,Petrol,Dealer,Manual,1,Mahindra,1,7500
Maruti Ertiga SHVS ZDI,2016,450000,115962,Diesel,Individual,Manual,2,Maruti,4,23192
Nissan Terrano XE D,2015,590000,65000,Diesel,Dealer,Manual,1,Nissan,5,10833
Maruti S-Cross Facelift,2017,800000,40000,Diesel,Individual,Manual,1,Maruti,3,10000
Hyundai i20 Magna 1.4 CRDi (Diesel),2012,385000,58000,Diesel,Dealer,Manual,1,Hyundai,8,6444
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,2000000,15000,Diesel,Individual,Automatic,1,Mercedes-Benz,7,1875
Hyundai EON Era Plus,2012,235000,54000,Petrol,Dealer,Manual,1,Hyundai,8,6000
Volkswagen Ameo 1.5 TDI Highline,2017,640000,56000,Diesel,Dealer,Manual,1,Volkswagen,3,14000
Maruti Alto LX,2006,52000,120000,Petrol,Individual,Manual,3,Maruti,14,8000
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,80000,90000,Other,Individual,Manual,2,Maruti,11,7500
Maruti Alto LX,2012,140000,70000,Petrol,Individual,Manual,2,Maruti,8,7777
Hyundai Verna i (Petrol),2008,120000,90000,Petrol,Individual,Manual,2,Hyundai,12,6923
Mahindra Renault Logan 1.5 DLS,2008,89999,213000,Diesel,Individual,Manual,1,Mahindra,12,16384
Chevrolet Optra Magnum 2.0 LS BSIII,2012,180000,120000,Diesel,Individual,Manual,1,Chevrolet,8,13333
Mahindra Scorpio S11 BSIV,2017,1500000,20000,Diesel,Individual,Manual,1,Mahindra,3,5000
Hyundai i20 Active 1.2 SX,2017,700000,10000,Petrol,Individual,Manual,1,Hyundai,3,2500
Maruti SX4 Celebration Diesel,2012,285000,80000,Diesel,Individual,Manual,2,Maruti,8,8888
Hyundai Grand i10 Magna,2015,390000,90000,Petrol,Individual,Manual,1,Hyundai,5,15000
Maruti Alto LXi BSIII,2008,125000,80000,Petrol,Individual,Manual,1,Maruti,12,6153
Maruti SX4 Zxi with Leather BSIII,2008,225000,60000,Petrol,Individual,Manual,2,Maruti,12,4615
Hyundai i10 Era,2011,175000,139000,Petrol,Individual,Manual,2,Hyundai,9,13900
Toyota Innova 2.5 V Diesel 7-seater,2011,1075000,160000,Diesel,Individual,Manual,2,Toyota,9,16000
Honda Mobilio V i DTEC,2014,300000,150000,Diesel,Individual,Manual,1,Honda,6,21428
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,700000,163000,Diesel,Individual,Manual,4,Toyota,10,14818
Tata Indica V2 2001-2011 DLS BSIII,2009,90000,120000,Diesel,Dealer,Manual,1,Tata,11,10000
Tata Indica Vista TDI LS,2011,120000,120000,Diesel,Individual,Manual,2,Tata,9,12000
Chevrolet Beat Diesel LS,2012,220000,100000,Diesel,Individual,Manual,2,Chevrolet,8,11111
Tata Zest Quadrajet 1.3 75PS XE,2015,300000,140000,Diesel,Dealer,Manual,1,Tata,5,23333
Skoda Fabia 1.2L Diesel Ambiente,2010,180000,87000,Diesel,Dealer,Manual,2,Skoda,10,7909
Maruti 800 Std,2013,170000,70000,Petrol,Individual,Manual,1,Maruti,7,8750
Ford Figo Petrol Titanium,2015,300000,50000,Petrol,Individual,Manual,2,Ford,5,8333
Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,1050000,70000,Diesel,Individual,Manual,1,Toyota,6,10000
Honda Mobilio V i DTEC,2014,300000,150000,Diesel,Individual,Manual,1,Honda,6,21428
Hyundai Grand i10 1.2 CRDi Asta,2018,465000,25000,Diesel,Individual,Manual,1,Hyundai,2,8333
Chevrolet Beat Diesel LT,2011,130000,80000,Diesel,Individual,Manual,2,Chevrolet,9,8000
Datsun GO Plus T Option Petrol,2018,434999,10000,Petrol,Individual,Manual,1,Datsun,2,3333
Hyundai Grand i10 1.2 Kappa Asta,2018,500000,32000,Petrol,Individual,Manual,1,Hyundai,2,10666
Maruti Omni MPI STD BSIV,2018,200000,10000,Petrol,Individual,Manual,1,Maruti,2,3333
Maruti Baleno Alpha 1.2,2017,625000,52000,Petrol,Dealer,Manual,1,Maruti,3,13000
Ford Fiesta Classic 1.4 SXI Duratorq,2006,110000,120000,Diesel,Individual,Manual,3,Ford,14,8000
Hyundai Elite i20 Asta Option BSIV,2019,800000,11240,Petrol,Individual,Manual,1,Hyundai,1,5620
Hyundai Grand i10 CRDi Magna,2017,490000,66000,Diesel,Dealer,Manual,1,Hyundai,3,16500
Maruti Ertiga SHVS ZDI,2017,880000,64000,Diesel,Dealer,Manual,1,Maruti,3,16000
Hyundai Santro Xing GL Plus,2013,290000,49000,Petrol,Individual,Manual,1,Hyundai,7,6125
Tata Sumo GX TC 7 Str BSIII,2006,115999,100000,Diesel,Individual,Manual,2,Tata,14,6666
Renault KWID RXT,2018,360000,26500,Petrol,Individual,Manual,1,Renault,2,8833
Maruti 800 AC,2002,65000,100000,Petrol,Individual,Manual,2,Maruti,18,5263
Maruti Vitara Brezza LDi Option,2017,685000,72000,Diesel,Dealer,Manual,1,Maruti,3,18000
Honda Jazz S,2009,300000,50000,Petrol,Individual,Manual,1,Honda,11,4166
Hyundai i20 1.4 Sportz,2017,680000,44000,Diesel,Dealer,Manual,1,Hyundai,3,11000
Maruti Ertiga SHVS ZDI Plus,2017,1000000,60000,Diesel,Individual,Manual,2,Maruti,3,15000
Tata Sumo SE Plus BSIII,2002,100000,120000,Diesel,Individual,Manual,1,Tata,18,6315
Mahindra Xylo E4,2010,160000,130000,Diesel,Individual,Manual,1,Mahindra,10,11818
Maruti Swift ZDi BSIV,2017,450000,70000,Diesel,Individual,Manual,1,Maruti,3,17500
